,0
0,0.06995192
1,0.09447116
2,0.12620193
3,0.190625
4,0.28052884
5,0.36466345
6,0.4360577
7,0.50600964
8,0.56490386
9,0.62259614
10,0.6497596
11,0.68004805
12,0.69927883
13,0.7326923
14,0.75552887
15,0.77163464
16,0.7762019
17,0.7800481
18,0.80456734
19,0.8137019
20,0.8331731
21,0.84302884
22,0.84447116
23,0.85096157
24,0.86033654
25,0.8682692
26,0.86682695
27,0.87596154
28,0.89302886
29,0.88846153
30,0.89783657
31,0.9012019
32,0.91177887
33,0.9110577
34,0.92283654
35,0.92764425
36,0.92980766
37,0.9324519
38,0.9324519
39,0.9375
40,0.9307692
41,0.9358173
42,0.93846154
43,0.9483173
44,0.9466346
45,0.9526442
46,0.9514423
47,0.9550481
48,0.95384616
49,0.953125
