,0
0,3.0254116
1,2.910163
2,2.7397354
3,2.5210881
4,2.2110493
5,1.9919771
6,1.6618359
7,1.3297244
8,1.225572
9,1.1521344
10,0.9386754
11,0.9468446
12,0.87489116
13,0.81919897
14,0.67194164
15,0.6955057
16,0.5924343
17,0.6078112
18,0.6126216
19,0.5617126
20,0.4400304
21,0.4656062
22,0.45184055
23,0.4504114
24,0.40693897
25,0.44117802
26,0.39770377
27,0.3605749
28,0.3761676
29,0.3985192
30,0.2853778
31,0.2780377
32,0.24427624
33,0.239629
34,0.2885601
35,0.17816897
36,0.19485918
37,0.19773096
38,0.19291496
39,0.20839939
40,0.18299863
41,0.17688826
42,0.16181819
43,0.17561379
44,0.17785919
45,0.14488173
46,0.13383289
47,0.13999821
48,0.1605864
49,0.14517991
